Country,Year,Attack_Type,Target_Industry,Financial_Loss_Million,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_Time_Hours,Resolution_Speed,Severity_Level,Attack_Impact_Score,Cyber_Risk_Score,Damage_Category,User_Impact_Category,Year_Group,Defense_Effectiveness
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,Fast,Critical,52.47,42.64,"Extreme Loss",Low,2015-2017,"Highly Effective"
USA,2016,Malware,Retail,32.89,894935,Unknown,"Social Engineering","AI-based Detection",31,Moderate,Medium,25.33,22.94,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
Japan,2017,"SQL Injection",Healthcare,21.66,277555,Unknown,"Social Engineering","AI-based Detection",45,Slow,Low,20.66,18.77,"Minor Loss",Medium,2015-2017,"Moderately Effective"
Australia,2024,Ransomware,Education,85.86,461012,Insider,"Unpatched Software","AI-based Detection",38,Slow,Critical,51.91,43.79,"Extreme Loss",Medium,2021-2024,"Moderately Effective"
Russia,2021,"SQL Injection",Telecommunications,80.23,599291,Nation-state,"Social Engineering",Firewall,55,Slow,Critical,52.91,45.49,"Extreme Loss",High,2021-2024,"Needs Improvement"
Australia,2016,Man-in-the-Middle,Government,31.92,163602,"Hacker Group","Unpatched Software",VPN,26,Moderate,Medium,21.65,18.62,"Moderate Loss",Low,2015-2017,"Moderately Effective"
UK,2021,"SQL Injection",Government,39.03,986196,Nation-state,"Weak Passwords",Encryption,11,Fast,Medium,24.67,21.76,"Moderate Loss",Massive,2021-2024,"Highly Effective"
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,Moderate,Critical,54.56,45.01,"Extreme Loss",Medium,2021-2024,"Highly Effective"
Germany,2022,"SQL Injection",Retail,25.10,559667,Unknown,Zero-day,Antivirus,69,Slow,Medium,28.03,26.08,"Moderate Loss",High,2021-2024,"Needs Improvement"
Russia,2018,DDoS,Healthcare,67.27,335628,"Hacker Group","Weak Passwords",Antivirus,20,Moderate,High,38.64,32.25,"Major Loss",Medium,2018-2020,"Highly Effective"
Germany,2016,Ransomware,Education,29.89,385363,Unknown,"Unpatched Software",Firewall,22,Moderate,Medium,20.50,17.90,"Moderate Loss",Medium,2015-2017,"Highly Effective"
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,Moderate,Low,17.20,16.55,"Minor Loss",Massive,2021-2024,"Moderately Effective"
Russia,2016,"SQL Injection",Telecommunications,95.93,595950,Nation-state,"Social Engineering","AI-based Detection",11,Fast,Critical,51.95,42.96,"Extreme Loss",High,2015-2017,"Highly Effective"
Japan,2022,DDoS,Education,12.61,756722,Nation-state,"Weak Passwords",VPN,15,Moderate,Low,11.58,11.07,"Minor Loss",High,2021-2024,"Highly Effective"
Australia,2024,Ransomware,Government,39.92,594424,"Hacker Group","Social Engineering",Antivirus,54,Slow,Medium,32.54,29.15,"Moderate Loss",High,2021-2024,"Needs Improvement"
China,2015,Malware,Retail,19.36,457790,"Hacker Group",Zero-day,Encryption,39,Slow,Low,18.85,17.38,"Minor Loss",Medium,2015-2017,"Moderately Effective"
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,"Social Engineering",Antivirus,63,Slow,High,49.48,42.99,"Major Loss",High,2021-2024,"Needs Improvement"
France,2023,Malware,Healthcare,53.34,714681,Unknown,"Unpatched Software",Firewall,34,Moderate,High,35.61,30.99,"Major Loss",High,2021-2024,"Moderately Effective"
India,2022,Malware,Government,84.15,849745,"Hacker Group","Social Engineering",Antivirus,51,Slow,Critical,54.82,47.26,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
Brazil,2019,"SQL Injection",Banking,27.64,826256,Nation-state,Zero-day,VPN,50,Slow,Medium,26.30,24.36,"Moderate Loss",Massive,2018-2020,"Needs Improvement"
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,Slow,Low,14.96,14.67,"Minor Loss",High,2015-2017,"Moderately Effective"
USA,2017,"SQL Injection",Banking,9.08,895507,Unknown,"Social Engineering","AI-based Detection",52,Slow,Low,17.63,17.61,"Minor Loss",Massive,2015-2017,"Needs Improvement"
UK,2020,"SQL Injection",Healthcare,67.90,2233,Unknown,"Social Engineering",Antivirus,45,Slow,High,42.96,36.17,"Major Loss",Low,2018-2020,"Moderately Effective"
Japan,2022,Phishing,Government,71.12,76776,Unknown,"Unpatched Software",Firewall,42,Slow,High,44.19,37.16,"Major Loss",Low,2021-2024,"Moderately Effective"
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,Slow,Low,16.37,15.93,"Minor Loss",Low,2018-2020,"Needs Improvement"
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,"Unpatched Software",Antivirus,30,Moderate,Critical,53.66,45.33,"Extreme Loss",High,2015-2017,"Moderately Effective"
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,"Unpatched Software","AI-based Detection",35,Moderate,Critical,47.35,40.18,"Major Loss",High,2015-2017,"Moderately Effective"
India,2022,DDoS,Healthcare,12.01,254980,Insider,"Unpatched Software","AI-based Detection",58,Slow,Low,18.37,17.42,"Minor Loss",Medium,2021-2024,"Needs Improvement"
Russia,2021,Malware,Education,0.54,869574,Unknown,"Unpatched Software",Antivirus,16,Moderate,Low,6.08,6.89,"Minor Loss",Massive,2021-2024,"Highly Effective"
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,Moderate,Critical,52.71,43.46,"Extreme Loss",Medium,2015-2017,"Highly Effective"
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,"AI-based Detection",55,Slow,High,43.65,37.80,"Major Loss",Medium,2021-2024,"Needs Improvement"
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,"Unpatched Software",Encryption,56,Slow,Critical,55.54,48.17,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,"Social Engineering",VPN,39,Slow,High,44.87,38.12,"Major Loss",Medium,2021-2024,"Moderately Effective"
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,"Social Engineering",Firewall,63,Slow,Medium,36.77,32.12,"Moderate Loss",Low,2018-2020,"Needs Improvement"
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,Slow,Critical,54.86,47.69,"Major Loss",High,2015-2017,"Needs Improvement"
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,"Hacker Group","Social Engineering",Antivirus,71,Slow,Medium,39.83,35.81,"Moderate Loss",High,2018-2020,"Needs Improvement"
India,2017,Man-in-the-Middle,Government,69.69,713419,"Hacker Group","Unpatched Software","AI-based Detection",70,Slow,High,50.99,44.73,"Major Loss",High,2015-2017,"Needs Improvement"
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,"Hacker Group",Zero-day,Antivirus,38,Slow,Critical,50.38,42.95,"Extreme Loss",High,2021-2024,"Moderately Effective"
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,"Unpatched Software",Antivirus,29,Moderate,Critical,48.21,39.97,"Extreme Loss",Low,2015-2017,"Moderately Effective"
Russia,2022,Phishing,Banking,85.01,923558,Insider,"Weak Passwords",Encryption,41,Slow,Critical,53.48,45.90,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,"Social Engineering","AI-based Detection",6,Fast,Low,12.19,10.38,"Minor Loss",Medium,2021-2024,"Highly Effective"
Russia,2023,Ransomware,Telecommunications,60.08,874485,"Hacker Group","Weak Passwords",Antivirus,48,Slow,High,42.26,37.13,"Major Loss",Massive,2021-2024,"Moderately Effective"
Russia,2016,"SQL Injection",Healthcare,46.95,90895,Unknown,"Social Engineering",VPN,29,Moderate,Medium,29.55,24.94,"Moderate Loss",Low,2015-2017,"Moderately Effective"
China,2015,Man-in-the-Middle,Retail,47.20,529593,"Hacker Group",Zero-day,VPN,64,Slow,Medium,37.99,33.80,"Moderate Loss",High,2015-2017,"Needs Improvement"
Germany,2018,Phishing,Government,46.92,610201,Nation-state,"Weak Passwords",VPN,72,Slow,Medium,39.69,35.61,"Moderate Loss",High,2018-2020,"Needs Improvement"
USA,2021,DDoS,Telecommunications,1.98,863623,"Hacker Group","Weak Passwords",Firewall,24,Moderate,Low,8.38,9.05,"Minor Loss",Massive,2021-2024,"Highly Effective"
USA,2018,Malware,Healthcare,14.28,755771,Insider,"Weak Passwords",Antivirus,44,Slow,Low,18.21,17.54,"Minor Loss",High,2018-2020,"Moderately Effective"
Japan,2021,"SQL Injection",Telecommunications,66.23,164032,Unknown,"Social Engineering",Firewall,5,Fast,High,34.61,28.15,"Major Loss",Low,2021-2024,"Highly Effective"
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,"Weak Passwords",Antivirus,58,Slow,Critical,60.21,50.90,"Extreme Loss",Medium,2018-2020,"Needs Improvement"
UK,2019,Phishing,Retail,90.13,232359,Unknown,"Social Engineering",Firewall,17,Moderate,Critical,49.16,40.38,"Extreme Loss",Medium,2018-2020,"Highly Effective"
Germany,2018,Phishing,Telecommunications,84.90,800031,Unknown,"Unpatched Software",Encryption,10,Fast,Critical,46.85,39.16,"Extreme Loss",Massive,2018-2020,"Highly Effective"
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,"Unpatched Software",Encryption,48,Slow,High,47.97,41.78,"Major Loss",Massive,2015-2017,"Moderately Effective"
Brazil,2016,Malware,IT,99.29,273469,Insider,"Social Engineering","AI-based Detection",67,Slow,Critical,63.87,54.21,"Extreme Loss",Medium,2015-2017,"Needs Improvement"
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,Slow,Low,25.41,23.93,"Minor Loss",High,2021-2024,"Needs Improvement"
Japan,2022,DDoS,Education,82.19,905203,"Hacker Group","Weak Passwords",Antivirus,37,Slow,Critical,51.21,43.90,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,"AI-based Detection",51,Slow,Low,17.60,16.94,"Minor Loss",High,2021-2024,"Needs Improvement"
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,"Social Engineering",VPN,9,Fast,Medium,16.59,14.30,"Moderate Loss",Medium,2015-2017,"Highly Effective"
UK,2015,Ransomware,Government,30.74,744505,Nation-state,"Unpatched Software",Antivirus,43,Slow,Medium,26.20,23.87,"Moderate Loss",High,2015-2017,"Moderately Effective"
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,"Weak Passwords",Firewall,27,Moderate,Critical,47.47,40.26,"Major Loss",High,2018-2020,"Moderately Effective"
Brazil,2017,Malware,Banking,99.22,660182,Insider,"Weak Passwords","AI-based Detection",21,Moderate,Critical,55.79,46.53,"Extreme Loss",High,2015-2017,"Highly Effective"
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,Moderate,Medium,21.15,18.61,"Moderate Loss",Medium,2015-2017,"Moderately Effective"
China,2019,DDoS,Retail,7.87,86783,Nation-state,"Weak Passwords",Antivirus,12,Fast,Low,6.60,5.90,"Minor Loss",Low,2018-2020,"Highly Effective"
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,"Social Engineering",VPN,72,Slow,Critical,58.96,50.67,"Extreme Loss",Medium,2021-2024,"Needs Improvement"
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,"Social Engineering",Firewall,43,Slow,Low,19.80,18.16,"Minor Loss",Medium,2021-2024,"Moderately Effective"
UK,2022,Ransomware,Government,31.94,485080,Insider,"Weak Passwords",Antivirus,61,Slow,Medium,29.63,26.92,"Moderate Loss",Medium,2021-2024,"Needs Improvement"
France,2024,Ransomware,Banking,78.82,759804,Unknown,"Unpatched Software","AI-based Detection",47,Slow,Critical,51.09,43.97,"Major Loss",High,2021-2024,"Moderately Effective"
Japan,2017,Phishing,IT,65.62,286208,"Hacker Group",Zero-day,Firewall,57,Slow,High,45.07,38.79,"Major Loss",Medium,2015-2017,"Needs Improvement"
USA,2017,Malware,IT,75.53,992377,Nation-state,"Unpatched Software",Antivirus,33,Moderate,Critical,47.34,40.78,"Major Loss",Massive,2015-2017,"Moderately Effective"
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,Slow,Medium,29.78,26.22,"Moderate Loss",Low,2021-2024,"Needs Improvement"
Russia,2021,"SQL Injection",Telecommunications,68.07,538602,Insider,"Unpatched Software",VPN,19,Moderate,High,39.45,33.18,"Major Loss",High,2021-2024,"Highly Effective"
Japan,2015,Malware,Healthcare,26.29,808392,"Hacker Group","Weak Passwords","AI-based Detection",4,Fast,Medium,16.37,14.55,"Moderate Loss",Massive,2015-2017,"Highly Effective"
UK,2015,Ransomware,IT,26.12,21580,Unknown,"Weak Passwords","AI-based Detection",14,Moderate,Medium,15.92,13.33,"Moderate Loss",Low,2015-2017,"Highly Effective"
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,Fast,Critical,50.05,40.81,"Extreme Loss",Medium,2018-2020,"Highly Effective"
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,Fast,High,40.74,33.89,"Major Loss",High,2015-2017,"Highly Effective"
France,2015,"SQL Injection",Government,12.92,344516,Insider,Zero-day,VPN,28,Moderate,Low,13.09,12.15,"Minor Loss",Medium,2015-2017,"Moderately Effective"
Australia,2024,Phishing,Retail,73.43,897569,"Hacker Group","Social Engineering","AI-based Detection",66,Slow,High,52.61,46.16,"Major Loss",Massive,2021-2024,"Needs Improvement"
Australia,2023,"SQL Injection",Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,Moderate,Critical,58.41,49.03,"Extreme Loss",High,2021-2024,"Moderately Effective"
China,2015,DDoS,Government,22.71,303975,Nation-state,"Social Engineering",Firewall,2,Fast,Low,12.67,10.70,"Minor Loss",Medium,2015-2017,"Highly Effective"
Japan,2022,"SQL Injection",Telecommunications,67.62,822256,Insider,"Unpatched Software",Firewall,60,Slow,High,48.28,42.34,"Major Loss",Massive,2021-2024,"Needs Improvement"
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,Slow,High,41.68,36.82,"Major Loss",High,2018-2020,"Needs Improvement"
Brazil,2016,"SQL Injection",Education,55.83,758258,Unknown,Zero-day,Encryption,44,Slow,High,38.99,34.17,"Major Loss",High,2015-2017,"Moderately Effective"
Brazil,2016,DDoS,IT,17.12,988369,"Hacker Group","Weak Passwords","AI-based Detection",26,Moderate,Low,16.73,16.00,"Minor Loss",Massive,2015-2017,"Moderately Effective"
France,2022,Malware,Healthcare,67.89,325521,"Hacker Group","Social Engineering",VPN,69,Slow,High,48.72,42.26,"Major Loss",Medium,2021-2024,"Needs Improvement"
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,"Social Engineering","AI-based Detection",41,Slow,Low,11.73,11.44,"Minor Loss",Medium,2021-2024,"Moderately Effective"
UK,2023,DDoS,Government,55.28,339144,"Hacker Group","Unpatched Software",VPN,26,Moderate,High,33.86,28.67,"Major Loss",Medium,2021-2024,"Moderately Effective"
India,2022,Ransomware,Education,57.52,170002,Unknown,"Unpatched Software","AI-based Detection",54,Slow,High,40.07,34.49,"Major Loss",Low,2021-2024,"Needs Improvement"
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,Slow,High,52.20,45.23,"Major Loss",Medium,2018-2020,"Needs Improvement"
China,2019,Phishing,Banking,49.14,341100,Insider,"Social Engineering",Firewall,37,Slow,Medium,32.99,28.42,"Moderate Loss",Medium,2018-2020,"Moderately Effective"
India,2018,DDoS,Government,36.04,446170,Insider,"Unpatched Software",VPN,72,Slow,Medium,33.76,30.60,"Moderate Loss",Medium,2018-2020,"Needs Improvement"
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22,Moderate,Low,11.53,10.15,"Minor Loss",Low,2015-2017,"Highly Effective"
France,2017,Ransomware,Telecommunications,66.36,180698,"Hacker Group",Zero-day,Encryption,53,Slow,High,44.32,37.87,"Major Loss",Low,2015-2017,"Needs Improvement"
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,"Social Engineering",VPN,44,Slow,Low,15.09,14.92,"Minor Loss",High,2015-2017,"Moderately Effective"
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,"Unpatched Software",Firewall,64,Slow,High,46.64,41.41,"Major Loss",Massive,2015-2017,"Needs Improvement"
Japan,2020,Phishing,Education,54.47,345334,"Hacker Group","Weak Passwords",Antivirus,25,Moderate,High,33.27,28.17,"Major Loss",Medium,2018-2020,"Moderately Effective"
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8,Fast,Critical,46.33,37.81,"Extreme Loss",Medium,2021-2024,"Highly Effective"
Russia,2017,Phishing,IT,89.22,791350,Nation-state,"Social Engineering",Antivirus,32,Moderate,Critical,53.38,45.25,"Extreme Loss",High,2015-2017,"Moderately Effective"
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49,Slow,High,44.04,38.14,"Major Loss",High,2021-2024,"Needs Improvement"
UK,2016,"SQL Injection",IT,6.59,186612,Unknown,"Unpatched Software",Antivirus,30,Moderate,Low,9.85,9.38,"Minor Loss",Low,2015-2017,"Moderately Effective"
Japan,2018,Ransomware,Retail,48.00,187730,Nation-state,"Weak Passwords","AI-based Detection",26,Moderate,Medium,29.76,25.15,"Moderate Loss",Low,2018-2020,"Moderately Effective"
France,2015,"SQL Injection",IT,87.78,6456,"Hacker Group","Social Engineering",Firewall,69,Slow,Critical,57.71,48.94,"Extreme Loss",Low,2015-2017,"Needs Improvement"
Japan,2020,Malware,Banking,15.73,762662,"Hacker Group",Zero-day,Firewall,56,Slow,Low,21.35,20.54,"Minor Loss",High,2018-2020,"Needs Improvement"
UK,2015,Phishing,IT,30.26,256396,"Hacker Group",Zero-day,Encryption,29,Moderate,Medium,21.70,18.93,"Moderate Loss",Medium,2015-2017,"Moderately Effective"
Brazil,2021,"SQL Injection",Healthcare,54.59,437634,Unknown,"Weak Passwords","AI-based Detection",29,Moderate,High,34.41,29.39,"Major Loss",Medium,2021-2024,"Moderately Effective"
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,"AI-based Detection",53,Slow,High,42.39,36.16,"Major Loss",Low,2015-2017,"Needs Improvement"
India,2016,Phishing,Retail,59.36,967614,Nation-state,"Unpatched Software","AI-based Detection",71,Slow,High,46.78,41.81,"Major Loss",Massive,2015-2017,"Needs Improvement"
Japan,2020,Ransomware,IT,79.52,934400,Unknown,"Social Engineering",VPN,4,Fast,Critical,43.36,36.35,"Major Loss",Massive,2018-2020,"Highly Effective"
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,"Weak Passwords","AI-based Detection",22,Moderate,Critical,49.96,41.72,"Extreme Loss",High,2021-2024,"Highly Effective"
China,2016,Malware,Healthcare,96.63,808984,Unknown,"Weak Passwords",Firewall,26,Moderate,Critical,55.94,47.09,"Extreme Loss",Massive,2015-2017,"Moderately Effective"
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,"Social Engineering",Encryption,48,Slow,High,36.81,31.79,"Major Loss",Medium,2021-2024,"Moderately Effective"
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49,Slow,Low,14.33,14.77,"Minor Loss",Massive,2021-2024,"Needs Improvement"
China,2019,Ransomware,IT,68.02,175038,"Hacker Group","Weak Passwords",VPN,67,Slow,High,47.94,41.31,"Major Loss",Low,2018-2020,"Needs Improvement"
Russia,2022,Phishing,Retail,67.17,774613,"Hacker Group","Weak Passwords",Encryption,53,Slow,High,46.51,40.57,"Major Loss",High,2021-2024,"Needs Improvement"
Japan,2021,Phishing,Healthcare,37.45,558357,"Hacker Group","Weak Passwords",VPN,49,Slow,Medium,30.20,27.01,"Moderate Loss",High,2021-2024,"Needs Improvement"
India,2017,Phishing,Retail,36.78,620056,Nation-state,"Weak Passwords",Firewall,14,Moderate,Medium,23.05,19.99,"Moderate Loss",High,2015-2017,"Highly Effective"
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,"Social Engineering",Encryption,56,Slow,Medium,31.80,27.83,"Moderate Loss",Low,2018-2020,"Needs Improvement"
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,"Unpatched Software","AI-based Detection",3,Fast,Critical,40.41,33.17,"Major Loss",Medium,2021-2024,"Highly Effective"
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,"Social Engineering",Antivirus,40,Slow,High,38.08,32.40,"Major Loss",Medium,2018-2020,"Moderately Effective"
Germany,2017,Phishing,Retail,93.60,908249,Nation-state,Zero-day,"AI-based Detection",53,Slow,Critical,60.12,51.67,"Extreme Loss",Massive,2015-2017,"Needs Improvement"
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,"Social Engineering",Encryption,63,Slow,Medium,37.71,33.44,"Moderate Loss",Medium,2015-2017,"Needs Improvement"
France,2017,Malware,Education,3.21,342049,Nation-state,"Unpatched Software","AI-based Detection",31,Moderate,Low,8.83,8.85,"Minor Loss",Medium,2015-2017,"Moderately Effective"
Brazil,2018,Phishing,Banking,98.75,316891,"Hacker Group","Social Engineering",Antivirus,55,Slow,Critical,61.33,51.77,"Extreme Loss",Medium,2018-2020,"Needs Improvement"
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,"AI-based Detection",16,Moderate,Medium,18.83,16.71,"Moderate Loss",High,2018-2020,"Highly Effective"
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43,Slow,Low,20.96,18.69,"Minor Loss",Low,2021-2024,"Moderately Effective"
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,"Unpatched Software",Encryption,44,Slow,Critical,49.68,42.00,"Major Loss",Medium,2015-2017,"Moderately Effective"
Russia,2023,"SQL Injection",Telecommunications,3.66,702942,Nation-state,"Unpatched Software","AI-based Detection",34,Moderate,Low,10.74,11.08,"Minor Loss",High,2021-2024,"Moderately Effective"
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,"Hacker Group","Social Engineering","AI-based Detection",34,Moderate,High,43.22,35.96,"Major Loss",Low,2015-2017,"Moderately Effective"
UK,2017,"SQL Injection",Banking,73.88,8385,Nation-state,"Social Engineering","AI-based Detection",69,Slow,High,50.77,43.39,"Major Loss",Low,2015-2017,"Needs Improvement"
Russia,2024,Ransomware,Banking,52.80,21810,Insider,Zero-day,VPN,48,Slow,High,36.07,30.81,"Major Loss",Low,2021-2024,"Moderately Effective"
India,2018,Man-in-the-Middle,Healthcare,94.60,7347,Insider,Zero-day,"AI-based Detection",7,Fast,Critical,48.72,39.27,"Extreme Loss",Low,2018-2020,"Highly Effective"
Germany,2021,"SQL Injection",Education,1.62,61463,"Hacker Group","Weak Passwords",Antivirus,58,Slow,Low,12.59,12.49,"Minor Loss",Low,2021-2024,"Needs Improvement"
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69,Slow,Low,16.26,16.86,"Minor Loss",High,2018-2020,"Needs Improvement"
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,"Weak Passwords",Antivirus,43,Slow,Critical,56.02,47.58,"Extreme Loss",High,2015-2017,"Moderately Effective"
Japan,2021,DDoS,Banking,32.84,311274,"Hacker Group",Zero-day,Encryption,67,Slow,Medium,30.75,27.78,"Moderate Loss",Medium,2021-2024,"Needs Improvement"
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3,Fast,High,32.82,26.67,"Major Loss",Low,2015-2017,"Highly Effective"
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,"Social Engineering","AI-based Detection",10,Fast,Medium,16.46,13.86,"Moderate Loss",Low,2021-2024,"Highly Effective"
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31,Moderate,Low,12.47,12.49,"Minor Loss",Massive,2015-2017,"Moderately Effective"
India,2019,DDoS,Banking,46.98,147761,Unknown,"Unpatched Software","AI-based Detection",68,Slow,Medium,37.53,32.98,"Moderate Loss",Low,2018-2020,"Needs Improvement"
Russia,2024,Ransomware,Banking,80.11,923911,Insider,"Unpatched Software",Firewall,60,Slow,Critical,54.83,47.74,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
Germany,2024,Ransomware,Education,11.81,418893,Insider,"Social Engineering",Firewall,31,Moderate,Low,13.36,12.60,"Minor Loss",Medium,2021-2024,"Moderately Effective"
Germany,2016,Ransomware,Education,15.09,914593,Unknown,"Weak Passwords","AI-based Detection",1,Fast,Low,10.49,9.89,"Minor Loss",Massive,2015-2017,"Highly Effective"
Japan,2015,"SQL Injection",Banking,20.69,344789,Unknown,Zero-day,"AI-based Detection",69,Slow,Low,25.18,23.46,"Minor Loss",Medium,2015-2017,"Needs Improvement"
India,2019,DDoS,Telecommunications,36.86,116906,Insider,"Social Engineering",VPN,7,Fast,Medium,20.18,16.61,"Moderate Loss",Low,2018-2020,"Highly Effective"
Australia,2019,Phishing,Education,10.87,812343,Insider,"Social Engineering",Antivirus,16,Moderate,Low,11.07,10.80,"Minor Loss",Massive,2018-2020,"Highly Effective"
China,2017,Malware,IT,18.17,346390,"Hacker Group","Weak Passwords",Firewall,36,Moderate,Low,17.32,15.85,"Minor Loss",Medium,2015-2017,"Moderately Effective"
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43,Slow,Low,15.64,14.28,"Minor Loss",Low,2018-2020,"Moderately Effective"
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57,Slow,Low,21.21,20.31,"Minor Loss",High,2015-2017,"Needs Improvement"
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47,Slow,Medium,26.42,23.37,"Moderate Loss",Medium,2018-2020,"Moderately Effective"
UK,2021,DDoS,Banking,97.03,100486,Nation-state,"Unpatched Software",Firewall,31,Moderate,Critical,55.02,45.41,"Extreme Loss",Low,2021-2024,"Moderately Effective"
Russia,2023,"SQL Injection",Education,75.63,195733,Nation-state,"Weak Passwords",Antivirus,70,Slow,Critical,52.40,45.03,"Major Loss",Low,2021-2024,"Needs Improvement"
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,"Weak Passwords",VPN,41,Slow,High,42.43,36.72,"Major Loss",High,2021-2024,"Moderately Effective"
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,"Weak Passwords",Antivirus,66,Slow,Critical,64.14,54.68,"Extreme Loss",Medium,2018-2020,"Needs Improvement"
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unknown,"Social Engineering","AI-based Detection",52,Slow,Critical,48.27,40.75,"Major Loss",Low,2015-2017,"Needs Improvement"
UK,2015,DDoS,Government,11.68,890414,Nation-state,"Unpatched Software","AI-based Detection",28,Moderate,Low,14.11,13.83,"Minor Loss",Massive,2015-2017,"Moderately Effective"
France,2021,Malware,IT,33.84,440358,Nation-state,"Social Engineering",Antivirus,5,Fast,Medium,19.24,16.30,"Moderate Loss",Medium,2021-2024,"Highly Effective"
India,2022,Malware,Healthcare,38.89,400752,Insider,"Unpatched Software",Antivirus,36,Moderate,Medium,27.85,24.36,"Moderate Loss",Medium,2021-2024,"Moderately Effective"
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63,Slow,Critical,57.89,49.05,"Extreme Loss",Low,2018-2020,"Needs Improvement"
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,"Weak Passwords",Antivirus,62,Slow,Low,21.12,20.03,"Minor Loss",Medium,2015-2017,"Needs Improvement"
